"","employees","salaries_17","annual_salary_adjustment","salaries_18","got_a_raise"
"1","Employee 1",45944.3569369614,7393.87541660108,53338.2323535625,TRUE
"2","Employee 2",43395.1871003956,9713.43153854832,53108.6186389439,TRUE
"3","Employee 3",41732.649768237,3995.76513911597,45728.414907353,TRUE
"4","Employee 4",48092.5091565587,-4627.59789545089,43464.9112611078,FALSE
"5","Employee 5",46828.6068993621,4071.46793557331,50900.0748349354,TRUE
"6","Employee 6",45550.3237713128,4207.066813251,49757.3905845638,TRUE
"7","Employee 7",47188.4513623081,8140.29603032395,55328.7473926321,TRUE
"8","Employee 8",48799.9034719542,1568.07123101316,50367.9747029673,TRUE
"9","Employee 9",46637.6536921598,-3911.66637069546,42725.9873214643,FALSE
"10","Employee 10",40817.0916559175,7197.83784123138,48014.9294971488,TRUE
"11","Employee 11",45813.8774218969,6130.98650588654,51944.8639277834,TRUE
"12","Employee 12",42756.0774656013,4887.80447631143,47643.8819419127,TRUE
"13","Employee 13",49972.5722777657,-4141.5550163947,45831.017261371,FALSE
"14","Employee 14",46107.1120621637,8197.68621237017,54304.7982745338,TRUE
"15","Employee 15",45330.8852948248,5858.47954265773,51189.3648374826,TRUE
"16","Employee 16",46339.7479965352,8906.3650474418,55246.1130439769,TRUE
"17","Employee 17",44977.8892751783,9243.64331760444,54221.5325927828,TRUE
"18","Employee 18",46806.8070011213,-2911.2170485314,43895.5899525899,FALSE
"19","Employee 19",49699.4706033729,9388.89846554957,59088.3690689225,TRUE
"20","Employee 20",46776.922151912,8969.908838626,55746.830990538,TRUE
"21","Employee 21",46217.7993450314,-118.481073295698,46099.3182717357,FALSE
"22","Employee 22",41483.8898507878,4038.31107192673,45522.2009227145,TRUE
"23","Employee 23",49222.3584395833,289.749633520842,49512.1080731042,TRUE
"24","Employee 24",49388.5746994056,3411.83589422144,52800.410593627,TRUE
"25","Employee 25",41819.6883960627,4833.5663753096,46653.2547713723,TRUE
"26","Employee 26",41509.8077408038,-1207.90377724916,40301.9039635547,FALSE
"27","Employee 27",41012.6392822713,2159.7290202044,43172.3683024757,TRUE
"28","Employee 28",46778.0791944824,7601.87663254328,54379.9558270257,TRUE
"29","Employee 29",40788.1348999217,7390.31246863306,48178.4473685548,TRUE
"30","Employee 30",43316.1437162198,9334.08199227415,52650.225708494,TRUE
"31","Employee 31",45486.7986170575,-3142.92641473003,42343.8722023275,FALSE
"32","Employee 32",48780.0792232156,272.515452234074,49052.5946754497,TRUE
"33","Employee 33",43035.2233583108,4924.01180439629,47959.235162707,TRUE
"34","Employee 34",48129.7420733608,4106.5255634021,52236.2676367629,TRUE
"35","Employee 35",40010.5730909854,3909.65483034961,43920.227921335,TRUE
"36","Employee 36",44319.1989627667,5777.58261351846,50096.7815762851,TRUE
"37","Employee 37",40021.3456968777,-3828.76027491875,36192.5854219589,FALSE
"38","Employee 38",40196.5372543782,6480.69166694768,46677.2289213259,TRUE
"39","Employee 39",40074.8276384547,5303.84481884539,45378.6724573001,TRUE
"40","Employee 40",44781.7579307593,3735.41880166158,48517.1767324209,TRUE
"41","Employee 41",40619.2554440349,4655.04279709421,45274.2982411291,TRUE
"42","Employee 42",47280.3929960355,8898.69599719532,56179.0889932308,TRUE
"43","Employee 43",40251.5740459785,731.863174587488,40983.437220566,TRUE
"44","Employee 44",45370.2947683632,9035.7160475105,54406.0108158737,TRUE
"45","Employee 45",40082.8221114352,2791.74949391745,42874.5716053527,TRUE
"46","Employee 46",46779.2841489427,8269.18331556953,55048.4674645122,TRUE
"47","Employee 47",48925.2194901928,771.609474904835,49696.8289650977,TRUE
"48","Employee 48",47284.9898505956,7941.8700246606,55226.8598752562,TRUE
"49","Employee 49",44237.871975638,7721.59256157465,51959.4645372126,TRUE
"50","Employee 50",48348.3075839467,2430.65107031725,50778.958654264,TRUE
"51","Employee 51",46324.4570768438,4137.35320442356,50461.8102812674,TRUE
"52","Employee 52",43585.6825346127,6079.13448824547,49664.8170228582,TRUE
"53","Employee 53",45253.1076711603,467.009269632399,45720.1169407926,TRUE
"54","Employee 54",45646.7186682858,4383.7631191127,50030.4817873985,TRUE
"55","Employee 55",44355.8277725242,4729.950199835,49085.7779723592,TRUE
"56","Employee 56",46506.7742299289,2481.58678179607,48988.3610117249,TRUE
"57","Employee 57",46147.4632821046,6491.73432844691,52639.1976105515,TRUE
"58","Employee 58",43905.2307792008,-2925.63853901811,40979.5922401827,FALSE
"59","Employee 59",48689.7992622107,-3517.89461798035,45171.9046442304,FALSE
"60","Employee 60",43866.4861372672,5827.62655685656,49694.1126941238,TRUE
"61","Employee 61",48005.7356343605,3031.34443587624,51037.0800702367,TRUE
"62","Employee 62",43581.2288732268,9522.34776574187,53103.5766389687,TRUE
"63","Employee 63",49314.624122344,4654.09415424801,53968.718276592,TRUE
"64","Employee 64",45165.3004158288,-4067.40804086439,41097.8923749644,FALSE
"65","Employee 65",42923.8812066615,8081.0433474835,51004.924554145,TRUE
"66","Employee 66",47972.8926508687,-4938.0561709404,43034.8364799283,FALSE
"67","Employee 67",46385.0356941111,-20.3818315640092,46364.6538625471,FALSE
"68","Employee 68",43481.2053944916,5126.17607600987,48607.3814705014,TRUE
"69","Employee 69",48728.6101514474,7257.11196428165,55985.722115729,TRUE
"70","Employee 70",46274.1520209238,-209.737559780478,46064.4144611433,FALSE
"71","Employee 71",42258.6799622513,7128.4133696463,49387.0933318976,TRUE
"72","Employee 72",45772.5900015794,9573.67119262926,55346.2611942086,TRUE
"73","Employee 73",41044.315805193,-1745.14747690409,39299.1683282889,FALSE
"74","Employee 74",42063.7812139466,8886.41771744005,50950.1989313867,TRUE
"75","Employee 75",49401.0080187581,7069.55729750916,56470.5653162673,TRUE
"76","Employee 76",44111.8338564411,4137.99992064014,48249.8337770812,TRUE
"77","Employee 77",48877.0491024479,2256.74256449565,51133.7916669436,TRUE
"78","Employee 78",48473.2229518704,4697.99852115102,53171.2214730214,TRUE
"79","Employee 79",40828.7117886357,498.004258843139,41326.7160474788,TRUE
"80","Employee 80",43481.5592574887,3545.68588430993,47027.2451417986,TRUE
"81","Employee 81",43208.7482186034,9636.86643983237,52845.6146584358,TRUE
"82","Employee 82",48194.9875829741,-4377.0733079873,43817.9142749868,FALSE
"83","Employee 83",48454.0978330187,305.532631464303,48759.6304644831,TRUE
"84","Employee 84",47997.2653253935,-3709.38876876608,44287.8765566275,FALSE
"85","Employee 85",47876.0662139393,1949.02498275042,49825.0911966898,TRUE
"86","Employee 86",41471.4917121455,2479.42809248343,43950.9198046289,TRUE
"87","Employee 87",41667.9407749325,4580.83518547937,46248.7759604119,TRUE
"88","Employee 88",45724.0303582512,3661.1011181958,49385.131476447,TRUE
"89","Employee 89",42160.1368160918,5208.97005335428,47369.1068694461,TRUE
"90","Employee 90",41205.6415015832,5968.42200844549,47174.0635100286,TRUE
"91","Employee 91",40291.9434919022,-3198.94103566185,37093.0024562404,FALSE
"92","Employee 92",45620.7227730192,3226.66048654355,48847.3832595628,TRUE
"93","Employee 93",47617.4880494364,-1061.33680208586,46556.1512473505,FALSE
"94","Employee 94",42927.9381711967,5939.42659208551,48867.3647632822,TRUE
"95","Employee 95",49992.8607814945,5654.01248284616,55646.8732643407,TRUE
"96","Employee 96",48580.2968824282,2351.73666733317,50932.0335497614,TRUE
"97","Employee 97",44184.5994768664,970.224118791521,45154.8235956579,TRUE
"98","Employee 98",49191.3813841529,-1410.52308841608,47780.8582957368,FALSE
"99","Employee 99",45540.8531613648,2335.28882381506,47876.1419851799,TRUE
"100","Employee 100",45244.261061307,-666.901523945853,44577.3595373612,FALSE
